name,lat,lon
Muralles de Sant Lloren\u00e7 de la Muga ,42.320004,2.790323
Muralles i torres de defensa,42.372528,2.921028
La Torreta,42.293137,3.186892
Mas de les Torres,42.281417,3.043833
Torre Calsina,42.26601,3.164238
Torre de Cal Ferrer,42.165108,3.008521
Torre de Carmanxel,42.419365,2.876693
Torre de Corsavell,42.312458,2.664842
Torre de guaita de Sant Lloren\u00e7 de la Muga ,42.31778,2.790374
Torre de l&#8217;\u00c0ngel,42.189644,2.924914
Torre de la Pla\u00e7a,42.363415,3.151963
Torre de les hores,42.308056,3.14975
Torre de l\u2019Estanyet ,42.201667,2.974056
Torre de Mala Ve\u00efna,42.330902,3.036714
Torre de Montg\u00f3,42.110794,3.174142
Torre de Norfeu,42.243416,3.250274
Torre de Sa Fusta d&#8217;es Baluard,42.287464,3.277252
Torre de Sant Baldiri de Taballera,42.325706,3.229794
Torre del Mas Mar\u00e8s,42.253155,3.202505
Torre del Mas Montjoi de Baix,42.256943,3.221459
Torre del Mas Vilanera,42.118446,3.1132
Torre del Pedr\u00f3,42.126781,3.127933
Torre del Sastre,42.246876,3.215357
Torre del Serrat de la Pla\u00e7a,42.416405,2.869594
Torre Galatea,42.268167,2.959083
Torre Quimeta,42.265999,3.164942
Torres de defensa de les Corts ,42.12487,3.112831
Torres del Mas d&#8217;en Coll,42.284512,3.178186
Bas\u00edlica de Santa Maria,42.259514,3.075906
Capella de Sant Andreu,42.322222,2.790222
Capella de Sant Jordi,42.328306,2.766111
Capella de Sant Sebasti\u00e0,42.374222,0.920333
Capella de Sant Sebasti\u00e0,42.267500,2.960556
Capella de Sant Sebasti\u00e0,42.343833,3.057083
Ermita de Palau,42.307222,2.738944
Ermita de Santa Eug\u00e8nia,42.239972,2.917222
Ermita dels Ap\u00f2stols,42.255306,2.798222
Can\u00f2nica de Santa Maria de Vilabertran ,42.28204,2.97917
Capella de Sant Nazari de les Olives,42.322194,2.995417
Ermita de Sant Antoni,42.317250,2.781472
Esgl\u00e9sia de Sant Baldiri de Taballera,42.325639,3.23
Esgl\u00e9sia de Sant Bartomeu de Pincar\u00f3,42.334750,2.676417
Esgl\u00e9sia de Sant Feliu,42.249278,2.813750
Esgl\u00e9sia de Sant Gen\u00eds,42.124417,2.906917
Esgl\u00e9sia de Sant Iscle i Santa Vict\u00f2ria,42.160611,2.910111
Esgl\u00e9sia de Sant Jaume de Canadal,42.41058,2.883029
Esgl\u00e9sia de Sant Joan Sescloses,42.278306,3.072139
Esgl\u00e9sia de Sant Lloren\u00e7,42.320139,2.790167
Esgl\u00e9sia de Sant Mart\u00ed de Corsavell,42.312767,2.664708
Esgl\u00e9sia de Sant Mart\u00ed de Queix\u00e0s,42.213250,2.798222
Esgl\u00e9sia de Sant Mart\u00ed Sesserres,42.259861,2.774694
Esgl\u00e9sia de Sant Mateu de Vilademires,42.229056,2.794194
Esgl\u00e9sia de Sant Miquel de la Cirera,42.288972,2.723417
Esgl\u00e9sia de Sant Pere,42.304528,2.720111
Esgl\u00e9sia de Sant Sadurn\u00ed d\u2019Arenys d\u2019Empord\u00e0,42.166028,2.953556
Esgl\u00e9sia de Santa Helena de Rodes,42.326638,3.160048
Esgl\u00e9sia de Santa Magdalena de Vilajoan,42.166417,2.934861
Esgl\u00e9sia de Santa Maria,42.247750,2.813500
Esgl\u00e9sia de Santa Maria de l\u2019Estela,42.283250,2.782472
Esgl\u00e9sia de Santa Maria d\u2019Agullana,42.394167,2.846722
Esgl\u00e9sia de Santa Maria d\u2019Ermed\u00e0s,42.186528,2.938278
Esgl\u00e9sia del Carme,42.307722,3.009389
Esgl\u00e9sia del Mas del Sepulcre,42.318833,2.986861
Esgl\u00e9sia parroquial de Sant Bartomeu,42.122722,2.962028
Esgl\u00e9sia parroquial de Sant Feliu de Calabuig,42.151972,2.924556
Esgl\u00e9sia parroquial de Sant Lloren\u00e7,42.188917,2.844667
Esgl\u00e9sia parroquial de Sant Mart\u00ed,42.308389,3.008472
Esgl\u00e9sia parroquial de Sant Miquel,42.197722,2.950139
Esgl\u00e9sia parroquial de Sant Pere,42.267778,2.960000
Esgl\u00e9sia parroquial de Santa Coloma,42.230917,2.819722
Esgl\u00e9sia parroquial de Santa Eul\u00e0lia de Noves,42.342306,3.064944
Esgl\u00e9sia parroquial de Santa Eul\u00e0lia,42.280139,3.042694
Santuari de la Mare de D\u00e9u del Mont,42.258465,2.707135
Santuari de la Mare de D\u00e9u del Roure,42.324245,2.911133
Santuari de Santa Maria de l\u2019Om,42.150109,3.063711
